Acmispon wrangelianus,118929
Albizia lophantha,72371
Astragalus curtipes,not found
Astragalus didymocarpus var. didymocarpus,49037
Astragalus gambelianus,not found
Astragalus miguelensis,not found
Astragalus nevinii,not found
Astragalus traskiae,not found
Astragalus trichopodus var. lonchus,not found
Astragalus trichopodus var. trichopodus,1679031
Caesalpinia spinosa,191904
Coronilla valentina,118893
Genista linifolia,175406
Genista monspessulana,49848
Lathyrus odoratus,3859
Lathyrus tingitanus,3862
Lathyrus vestitus var. alefeldii,not found
Lathyrus vestitus var. vestitus,not found
Lotus corniculatus,47247
Lupinus albifrons var. douglasii,749239
Lupinus arboreus,3872
Lupinus bicolor,53238
Lupinus chamissonis,377323
Lupinus concinnus,61074
Lupinus guadalupensis,377326
Lupinus hirsutissimus,61109
Lupinus microcarpus,53231
Lupinus succulentus,53242
Lupinus truncatus,377344
Lupinus variicolor,749253
Medicago polymorpha,47084
Medicago sativa,3879
Melilotus albus,47082
Melilotus indicus,200951
Pickeringia montana var. montana,1151076
Pisum sativum,3888
Robinia pseudoacacia,35938
Spartium junceum,49843
Trifolium albopurpureum,74502
Trifolium barbigerum,361890
Trifolium ciliolatum,74511
Trifolium depauperatum var. amplectens,not found
Trifolium depauperatum var. truncatum,not found
Trifolium fucatum,361916
Trifolium gracilentum,74515
Trifolium hirtum,60915
Trifolium macraei,361937
Trifolium microcephalum,200957
Trifolium microdon,361942
Trifolium palmeri,361921
Trifolium repens,3899
Trifolium variegatum var. major,not found
Trifolium willdenovii,200959
Vicia americana,200966
Vicia benghalensis,154497
Vicia hassei,not found
Vicia ludoviciana ssp. ludoviciana,not found
Vicia sativa ssp. nigra,3909
Vicia sativa ssp. sativa,1042228
Vicia villosa,3911
Quercus agrifolia var. agrifolia,not found
Quercus chrysolepis,97695
Quercus douglasii,465759
Quercus engelmannii,97696
Quercus kelloggii,97698
Quercus lobata,97700
Quercus ×macdonaldii,not found
Quercus pacifica,1266344
Quercus parvula var. parvula,not found
Quercus tomentella,60424
Frankenia salina,194574
Garrya veatchii,1197922
Zeltnera davyi,not found
Zeltnera venusta,172079
California macrophylla,337344
Erodium botrys,337357
Erodium brachycarpum,337358
Erodium cicutarium,301481
Erodium moschatum,337392
Erodium texanum,28960
Geranium carolinianum,554690
Geranium dissectum,326028
Geranium molle,581251
Pelargonium ×hortorum,not found
Pelargonium peltatum,122192
