Dichelostemma_multiflorum,51446
Dichelostemma_volubile,158495
Bromus_arizonicus,not found
Bromus_carinatus,254121
Bromus_ciliatus,254123
Bromus_grandis,254129
Bromus_hallii,not found
Bromus_laevipes,254133
Bromus_maritimus,not found
Bromus_orcuttianus,475763
Bromus_polyanthus,not found
Bromus_porteri,254144
Bromus_pseudolaevipes,254146
Bromus_richardsonii,254150
Bromus_sitchensis,not found
Bromus_suksdorfii,254155
Bromus_vulgaris,not found
Buddleja_utahensis,168505
Bulbostylis_capillaris,not found
Bursera_microphylla,80317
Cacaliopsis_nardosmia,98682
Calamagrostis_bolanderi,not found
Calamagrostis_breweri,336873
Calamagrostis_canadensis,52148
Calamagrostis_foliosa,not found
Calamagrostis_koelerioides,not found
Calamagrostis_muiriana,336872
Calamagrostis_nutkaensis,not found
Calamagrostis_ophitidis,not found
Calamagrostis_purpurascens,545883
Calamagrostis_rubescens,640614
Calamagrostis_stricta,497295
Calandrinia_breweri,107582
Calandrinia_ciliata,46144
California_macrophylla,337344
Calliandra_eriophylla,457889
Calliscirpus_criniger,906932
Callitriche_fassettii,not found
Callitriche_heterophylla,13381
Callitriche_longipedunculata,not found
Callitriche_marginata,119591
Callitriche_palustris,669641
Callitriche_trochlearis,119597
Callitropsis_nootkatensis,85954
Calocedrus_decurrens,13387
Calochortus_albus,77336
Calochortus_amabilis,254958
Calochortus_amoenus,254959
Calochortus_coeruleus,254960
Calochortus_elegans,254962
Calochortus_greenei,255019
Calochortus_longebarbatus,254966
Calochortus_minimus,59060
Calochortus_monophyllus,254968
Calochortus_nudus,254970
Calochortus_persistens,254972
Calochortus_pulchellus,254973
Calochortus_raichei,254974
Calochortus_tiburonensis,254976
Calochortus_tolmiei,254977
Calochortus_umbellatus,254978
Calochortus_uniflorus,254980
Calochortus_westonii,254981
Calochortus_argillosus,254988
Calochortus_catalinae,254998
Calochortus_dunnii,254994
Calochortus_flexuosus,254996
Calochortus_luteus,134853
Calochortus_monanthus,not found
Calochortus_palmeri,255002
Calochortus_simulans,not found
Calochortus_splendens,255003
Calochortus_striatus,not found
Calochortus_superbus,255004
Calochortus_syntrophus,not found
Calochortus_venustus,255005
Calochortus_vestae,255006
Calochortus_bruneaunis,254990
Calochortus_clavatus,254992
Calochortus_concolor,255020
Calochortus_excavatus,254995
Calochortus_invenustus,not found
Calochortus_kennedyi,254991
Calochortus_leichtlinii,254999
Calochortus_macrocarpus,255000
Calochortus_panamintensis,not found
Calochortus_fimbriatus,not found
Calochortus_obispoensis,254982
Calochortus_plummerae,254983
Calochortus_weedii,134854
Caltha_leptosepala,253622
Calycadenia_fremontii,28913
Calycadenia_hooveri,28915
Calycadenia_micrantha,not found
Calycadenia_mollis,28916
Calycadenia_multiglandulosa,28917
Calycadenia_oppositifolia,28918
Calycadenia_pauciflora,28919
Calycadenia_spicata,28920
Calycadenia_truncata,28921
Calycadenia_villosa,28922
Osmadenia_tenella,28925
Calycanthus_occidentalis,3430
Calypso_bulbosa,78714
Calyptridium_monandrum,339187
Calyptridium_monospermum,89075
Calyptridium_parryi,339188
Calyptridium_pulchellum,339192
Calyptridium_pygmaeum,339193
Calyptridium_quadripetalum,146327
Calyptridium_roseum,339194
Calyptridium_umbellatum,107586
Calystegia_atriplicifolia,1428826
Calystegia_collina,1428829
Calystegia_longipes,1428830
Calystegia_macrostegia,197361
Calystegia_malacophylla,1428833
Calystegia_occidentalis,1428835
Calystegia_peirsonii,1428837
Calystegia_purpurata,1434953
Calystegia_sepium,47519
Calystegia_soldanella,136204
Calystegia_stebbinsii,not found
Calystegia_subacaulis,1428841
Camassia_leichtlinii,49707
Camassia_quamash,205718
Camissonia_benitensis,1267509
Camissonia_campestris,238250
Camissonia_contorta,1267510
Camissonia_integrifolia,not found
Camissonia_kernensis,238255
Camissonia_lacustris,not found
Camissonia_parvula,not found
Camissonia_pubens,not found
Camissonia_pusilla,not found
Camissonia_sierrae,not found
Camissonia_strigulosa,1267511
Camissoniopsis_bistorta,1515415
Camissoniopsis_cheiranthifolia,238251
Camissoniopsis_confusa,not found
Camissoniopsis_guadalupensis,not found
Camissoniopsis_hardhamiae,not found
Camissoniopsis_hirtella,not found
Camissoniopsis_ignota,not found
Camissoniopsis_intermedia,not found
Camissoniopsis_lewisii,not found
Camissoniopsis_luciae,not found
Camissoniopsis_micrantha,not found
Camissoniopsis_pallida,not found
Camissoniopsis_robusta,not found
Campanula_rotundifolia,239422
Campanula_scabrella,1089231
Campanula_scouleri,519287
Campanula_shetleri,1241176
Asyneuma_prenanthoides,not found
Campanula_angustiflora,1241020
Campanula_californica,1241043
Campanula_exigua,519280
Campanula_griffinii,1241090
Campanula_sharsmithiae,not found
Campanula_wilkinsiana,1089232
Githopsis_diffusa,239445
Githopsis_pulchella,519291
Githopsis_specularioides,1241219
Githopsis_tenella,not found
Heterocodon_rariflorum,239447
Triodanis_biflora,1241231
Triodanis_perfoliata,284232
Canbya_candida,not found
Cardamine_angulata,558103
Cardamine_bellidifolia,109591
Cardamine_breweri,109592
Cardamine_californica,109594
Cardamine_cordifolia,558111
Cardamine_nuttallii,558131
Cardamine_occidentalis,558132
Cardamine_oligosperma,357223
Cardamine_pachystigma,not found
Cardamine_pensylvanica,65946
Cardionema_ramosissimum,308177
Carex_abrupta,314394
Carex_albonigra,912377
Carex_alma,140784
Carex_amplifolia,312729
Carex_angustata,140786
Carex_aquatilis,140788
Carex_arcta,432978
Carex_atherodes,912382
Carex_athrostachya,240671
Carex_aurea,140789
Carex_barbarae,657467
Carex_bolanderi,380460
Carex_brainerdii,247941
Carex_brevicaulis,140875
Carex_breweri,140794
Carex_buxbaumii,241202
Carex_californica,912397
Carex_canescens,140796
Carex_capitata,140797
Carex_comosa,312735
Carex_concinnoides,140801
Carex_congdonii,912405
Carex_cusickii,380461
Carex_davyi,314413
Carex_deflexa,247936
Carex_densa,240670
Carex_diandra,140803
Carex_disperma,312740
Carex_douglasii,432987
