taxon,18S,atpB,ndhF,
Atriplex_lentiformis,,,,
Atriplex_leucophylla,,,,
Atriplex_minuscula,,,,
Atriplex_pacifica,,,,
Atriplex_parishii,,,,
Atriplex_parryi,,,,
Atriplex_patula,,,,
Atriplex_persistens,,,,
Atriplex_polycarpa,,,,
Atriplex_pusilla,,,,
Atriplex_serenana,,,,
Atriplex_spinifera,,,,
Atriplex_subtilis,,,,
Atriplex_torreyi,FJ601842.1,,,
Atriplex_truncata,,,,
Atriplex_tularensis,,,,
Atriplex_watsonii,,,,
Ayenia_compacta,,,,
Azolla_filiculoides,AY612717.1,EF520876.1,,
Azolla_microphylla,,EF520879.1,,
Baccharis_brachyphylla,,,,
Baccharis_glutinosa,,,,
Baccharis_malibuensis,,,,
Baccharis_pilularis,,,,
Baccharis_plummerae,,,,
Baccharis_salicifolia,,,,
Baccharis_salicina,,,,
Baccharis_sarothroides,,,,
Baccharis_sergiloides,,,,
Baccharis_vanessae,,,,
Bacopa_eisenii,,,EF467911.1,
Bahia_neomexicana,,,,
Bahiopsis_laciniata,,,,
Bahiopsis_parishii,,,,
Bahiopsis_reticulata,,,,
Baileya_pauciradiata,,,,
Baileya_multiradiata,,,,
Baileya_pleniradiata,,,,
Barbarea_orthoceras,,,,
Batis_maritima,U42504.1,AF209538.1,EU002199.1,
Bebbia_juncea,,,AF384696.3,
Beckmannia_syzigachne,,DQ780963.1,DQ786817.1,
Benitoa_occidentalis,,,,
Bensoniella_oregona,,,,
Berberis_nervosa,,,KC575564.1,
Berberis_higginsiae,,,AY145164.1,
Berberis_nevinii,,,KC575568.1,
Berberis_aquifolium,,AF528846.1,KC575566.1,
Berberis_fremontii,,,KC575567.1,
Berberis_haematocarpa,,,,
Berberis_harrisoniana,,,,
Berberis_pinnata,,,,
Bergerocactus_emoryi,,,,
Bergia_texana,AY674577.1,JX663791.1,JX662739.1,
Bernardia_incana,,,,
Berula_erecta,,,,
Betula_glandulosa,,,,
Betula_occidentalis,,,,
Bidens_cernua,,,,
Bidens_frondosa,,,,
Bidens_laevis,,,AB530917.1,
Bistorta_bistortoides,,,,
Blechnum_spicant,,JF832157.1,,
Blennosperma_bakeri,,,,
Blennosperma_nanum,,,L39433.1,
Blepharidachne_kingii,,,JN681720.1,
Blepharipappus_scaber,,,,
Blepharizonia_laxa,,,,
Blepharizonia_plumosa,,,,
Hemizonia_congesta,,,,
Bloomeria_clevelandii,,,AF508373.1,
Bloomeria_crocea,HM640753.1,JX903834.1,AF508353.1,
Bloomeria_humilis,,,AF508354.1,
Triteleia_bridgesii,,,AF508378.1,
Triteleia_clementina,,,,
Triteleia_crocea,,,AF508379.1,
Triteleia_dudleyi,,,,
Triteleia_grandiflora,,,AF508380.1,
Triteleia_hendersonii,,,AF508382.1,
Triteleia_hyacinthina,JQ283898.1,JQ273639.1,JQ276816.1,
Triteleia_ixioides,,,AF508384.1,
Triteleia_laxa,,,AF508385.1,
Triteleia_lilacina,,,,
Triteleia_lugens,,,,
Triteleia_montana,,,AF508387.1,
Triteleia_peduncularis,HM640758.1,JX903839.1,AF508388.1,
Boechera_acutina,,,,
Boechera_arcuata,,,,
Boechera_bodiensis,,,,
Boechera_breweri,,,,
Boechera_calderi,,,,
Boechera_californica,,,,
Boechera_cobrensis,,,,
Boechera_constancei,,,,
Boechera_covillei,,,,
Boechera_davidsonii,,,,
Boechera_depauperata,,,,
Boechera_dispar,,,,
Boechera_divaricarpa,,,,
Boechera_elkoensis,,,,
Boechera_evadens,,,,
Boechera_glaucovalvula,,,,
Boechera_hoffmannii,,,,
Boechera_howellii,,,,
Boechera_inyoensis,,,,
Boechera_johnstonii,,,,
Boechera_koehleri,,,,
Boechera_lemmonii,,,,
Boechera_lincolnensis,,,,
Boechera_lyallii,,,,
Boechera_parishii,,,,
Boechera_pauciflora,,,,
Boechera_paupercula,,,,
Boechera_peirsonii,,,,
Boechera_pendulina,,,,
Boechera_pendulocarpa,,,,
Boechera_perennans,,,,
Boechera_pinetorum,,,,
Boechera_pinzliae,,,,
Boechera_platysperma,,,DQ288740.1,
Boechera_pratincola,,,,
Boechera_puberula,,,,
Boechera_pulchra,,,,
Boechera_pygmaea,,,,
Boechera_rectissima,,,,
Boechera_retrofracta,,,,
Boechera_rigidissima,,,,
Boechera_rollei,,,,
Boechera_rubicundula,,,,
Boechera_serpenticola,,,,
Boechera_shevockii,,,,
Boechera_shockleyi,,,,
Boechera_sparsiflora,,,,
Boechera_stricta,,,AF064658.1,
Boechera_subpinnatifida,,,,
Boechera_suffrutescens,,,,
Boechera_tiehmii,,,,
Boechera_tularensis,,,,
Boechera_ultraalsa,,,,
Boechera_xylopoda,,,,
Boechera_yorkii,,,,
Boechera_repanda,,,,
Boerhavia_coccinea,,,,
Boerhavia_coulteri,,,,
Boerhavia_triquetra,,,,
Boerhavia_wrightii,,,,
Bolandra_californica,,,,
Bolboschoenus_fluviatilis,,,,
Bolboschoenus_maritimus,,,FM160515.1,
Bolboschoenus_robustus,,,KC678064.1,
Bothriochloa_barbinodis,,,,
Botrychium_ascendens,,,,
Botrychium_crenulatum,,,,
Botrychium_lineare,,,,
Botrychium_lunaria,U18623.1,U93826.2,,
Botrychium_minganense,,,,
Botrychium_montanum,,,,
Botrychium_paradoxum,,,,
Botrychium_pinnatum,,,,
Botrychium_pumicola,,,,
Botrychium_simplex,,,,
Botrychium_tunux,,,,
Botrychium_yaaxudakeit,,,,
Botrypus_virginianus,AF313566.1,,,
Bouteloua_aristidoides,,,GU359570.1,
Bouteloua_barbata,,,,
Bouteloua_curtipendula,,EF422971.1,EF422911.1,
Bouteloua_eriopoda,,,,
Bouteloua_gracilis,,,HE575771.1,
Bouteloua_trifida,,,,
Bowlesia_incana,,,,
Boykinia_rotundifolia,,AJ235417.2,,
Boykinia_major,,,,
Boykinia_occidentalis,,,,
Brandegea_bigelovii,,,,
Brasenia_schreberi,AF206874.1,AF209544.1,,
Brickellia_atractyloides,,,,
Brickellia_californica,,,,
Brickellia_desertorum,,,,
Brickellia_frutescens,,,,
Brickellia_grandiflora,,,,
Brickellia_greenei,,,,
Brickellia_incana,,,,
Brickellia_knappiana,,,,
Brickellia_longifolia,,,,
Brickellia_microphylla,,,,
Brickellia_nevinii,,,,
Brickellia_oblongifolia,,,,
Brodiaea_appendiculata,,,AF508355.1,
Brodiaea_californica,JQ283923.1,JQ273635.1,JQ276812.1,
Brodiaea_coronaria,,,,
Brodiaea_elegans,,,AF508357.1,
Brodiaea_filifolia,,,AF508358.1,
Brodiaea_insignis,,,,
Brodiaea_jolonensis,,,AF508359.1,
Brodiaea_kinkiensis,,,,
Brodiaea_leptandra,,,,
Brodiaea_minor,,,AF508360.1,
Brodiaea_nana,,,,
Brodiaea_orcuttii,,,AF508361.1,
Brodiaea_pallida,,,,
Brodiaea_rosea,,,AF508356.1,
Brodiaea_santarosae,,,,
Brodiaea_sierrae,,,,
Brodiaea_stellaris,,,AF508362.1,
Brodiaea_terrestris,,,AF508363.1,
Dichelostemma_congestum,JQ283924.1,JQ273637.1,JQ276814.1,
Dichelostemma_ida-maia,JQ283925.1,JQ273638.1,JQ276815.1,
Dichelostemma_multiflorum,HM640755.1,JX903836.1,JX903419.1,
Dichelostemma_volubile,,,AF508369.1,
Bromus_arizonicus,,,,
Bromus_carinatus,,,,
Bromus_ciliatus,,,,
Bromus_grandis,,,,
Bromus_hallii,,,,
Bromus_laevipes,,,,
Bromus_maritimus,,,,
Bromus_orcuttianus,,,,
Bromus_polyanthus,,,,
Bromus_porteri,,,,
Bromus_pseudolaevipes,,,,
Bromus_richardsonii,,,,
Bromus_sitchensis,,,,
Bromus_suksdorfii,,DQ780968.1,DQ786822.1,
Bromus_vulgaris,,,,
Buddleja_utahensis,,,,
Bulbostylis_capillaris,,,,
Bursera_microphylla,,GU246055.1,,
Cacaliopsis_nardosmia,,,GU817837.1,
Calamagrostis_bolanderi,,,,
Calamagrostis_breweri,,,,
Calamagrostis_canadensis,,DQ780970.1,DQ786824.1,
Calamagrostis_foliosa,,,,
Calamagrostis_koelerioides,,,,
Calamagrostis_muiriana,,,,
Calamagrostis_nutkaensis,,,,
Calamagrostis_ophitidis,,,,
Calamagrostis_purpurascens,,,,
Calamagrostis_rubescens,,,,
Calamagrostis_stricta,,,,
Calandrinia_breweri,,,,
Calandrinia_ciliata,,,AF194835.1,
California_macrophylla,,,,
Calliandra_eriophylla,,,,
Calliscirpus_criniger,,,GU075517.1,
Callitriche_fassettii,,,,
Callitriche_heterophylla,AF107582.1,AJ236164.1,L47329.1,
Callitriche_longipedunculata,,,,
Callitriche_marginata,,,,
Callitriche_palustris,,,,
Callitriche_trochlearis,,,,
Callitropsis_nootkatensis,AB029366.1,,,
Calocedrus_decurrens,D85293.1,,,
Calochortus_albus,AF069204.1,,AF275994.1,
Calochortus_amabilis,,,,
Calochortus_amoenus,,,,
Calochortus_coeruleus,,,,
Calochortus_elegans,,,,
Calochortus_greenei,,,,
Calochortus_longebarbatus,,,,
Calochortus_minimus,,,,
Calochortus_monophyllus,,,,
Calochortus_nudus,,,,
Calochortus_persistens,,,,
Calochortus_pulchellus,,,,
Calochortus_raichei,,,,
Calochortus_tiburonensis,,,,
Calochortus_tolmiei,,,,
Calochortus_umbellatus,,,,
Calochortus_uniflorus,,,,
Calochortus_westonii,,,,
Calochortus_argillosus,,,,
Calochortus_catalinae,,,,
Calochortus_dunnii,,,,
Calochortus_flexuosus,,,,
Calochortus_luteus,,,AF275997.1,
Calochortus_monanthus,,,,
Calochortus_palmeri,,,,
Calochortus_simulans,,,,
Calochortus_splendens,,,,
