taxon,ITS,matK,matR,ndhF,rbcL,trnL-trnF,18S,atpB,
Aenigmatanthera,,HQ247185.1,,HQ246736.1,HQ247427.1,,,,
Aenigmopteris,,,,,,,,,
Aeolanthus,,,,,,,,,
Aeollanthus,,,,,,AJ505434.1,,,
Aeonium,AY082151.1,AY082169.1,,,KM360615.1,AY082257.1,,,
Aequatoriella,,,,,,,,,
Aequatorium,GU818489.1,GU817418.1,,GU817827.1,,GU817967.1,,,
Aerangis,EF079444.1,KF557936.1,,U20664.1,AF074103.1,DQ091462.1,,,
Aeranthes,DQ091760.1,KF557958.1,,,AF074104.1,KF558265.1,,,
Aerides,EF670351.1,KC823029.1,,,DQ195015.1,EF670402.1,,,
Aerobryidium,AF403613.1,,,,,AF397789.1,,,
Aerobryopsis,,,,,,,,,
Aerobryum,FM242657.1,,,,,AF397780.1,,,
Aerolindigia,AF395634.1,,,,FJ262441.1,AY044072.1,,,
Aerva,KP875878.1,AY514793.1,,,AY270050.1,KR738604.1,,,
Aeschynanthus,KJ475427.1,KJ137885.1,,U62169.2,AJ490920.1,AJ492307.1,U42542.1,,
Aeschynomene,KT821168.1,AH009907.2,,,AF308701.1,,,,
Aesculus,JF421459.1,EU687738.1,,HM008542.1,KM360616.1,AF411085.1,AF206838.1,AF035894.1,
Aetanthus,,EU544409.1,,,,,,,
Aetheolaena,,,,,,,,,
Aetheolirion,,,,,,,,,
Aetheorhiza,,,,,,,,,
Aetheorhyncha,AY870031.1,AY869932.1,,,,,,,
Aethephyllum,JN896525.1,KF132630.1,,,AM234788.1,KC834503.1,,,
Aethionema,AM905711.1,EU371817.1,KU739641.1,DQ288726.1,KU739559.1,DQ180264.1,,,
Aethusa,GQ862376.1,KJ204433.1,,,KM360617.1,,,,
Aetoxylon,,,,,,,,,
Aextoxicon,,DQ182342.1,GU351143.1,,X83986.1,,AF206839.1,AJ235384.2,
Affonsea,,,,,,,,,
Afgekia,AF467016.1,KF294875.1,,,AB045785.1,,,,
Afraegle,FJ434170.1,AB762357.1,,,AB505962.1,AY295295.1,,EF118828.1,
Aframmi,,,,,,,,,
Aframomum,AF414493.1,AF478808.1,,,KU215363.1,FJ848660.1,,,
Afraurantium,,,,,,,,,
Afrobrunnichia,FJ154460.1,FJ154490.1,,FJ154501.1,FJ154448.1,,,,
Afrocalathea,EU605908.1,AY140262.1,,,,EU647816.1,,,
Afrocanthium,KF488076.1,JX517417.1,,HM164346.1,HM164152.1,,,,
Afrocarpus,JF969615.1,AF457111.1,,,AF249589.1,AY678115.1,AF342759.1,AJ621932.1,
Afrofittonia,,,,,,,,,
Afroguatteria,,,,,,,,,
Afrolicania,,,,,,,,,
Afroligusticum,DQ516377.1,,,,,,,,
Afrolimon,,AY042537.1,,,JQ412383.1,,,,
Afropteris,,,,,,,,,
Afrosciadium,,,,,,,,,
Afrosison,,,,,,,,,
Afrostyrax,AY935864.1,EF135501.1,AY121495.1,FJ670155.1,AJ235771.1,AY935750.1,AY929338.1,AJ235385.2,
Afrothismia,EU421057.1,,,,FN870755.1,,DQ786083.1,,
