Marah macrocarpa,Marah macrocarpus
Arbutus menziesii
Arctostaphylos catalinae
Arctostaphylos confertiflora
Arctostaphylos insularis
Arctostaphylos crustacea ssp. insulicola,Arctostaphylos crustacea subsp. insulicola,Arctostaphylos crustacea var. insulicola
Arctostaphylos crustacea ssp. subcordata,Arctostaphylos crustacea subsp. subcordata,Arctostaphylos crustacea var. subcordata
Arctostaphylos viridissima
Comarostaphylis diversifolia ssp. planifolia,Comarostaphylis diversifolia subsp. planifolia,Comarostaphylis diversifolia var. planifolia
Vaccinium ovatum
Xylococcus bicolor
Euphorbia maculata,Chamaesyce maculata
Euphorbia serpens,Chamaesyce serpens
Euphorbia serpyllifolia,Chamaesyce serpyllifolia
Croton setigerus,Eremocarpus setigerus
Euphorbia crenulata
Euphorbia misera
Euphorbia peplus
Euphorbia spathulata
Ricinus communis
Stillingia linearifolia
Acacia cyclops
Acacia decurrens
Acacia dealbata
Acacia melanoxylon
Acmispon americanus var. americanus,Acmispon americanus ssp. americanus,Acmispon americanus subsp. americanus,Lotus purshianus
Acmispon argophyllus var. adsurgens,Acmispon argophyllus ssp. adsurgens,Acmispon argophyllus subsp. adsurgens,Lotus argophyllus var. adsurgens,Lotus argophyllus ssp. adsurgens,Lotus argophyllus subsp. adsurgens
Acmispon argophyllus var. argenteus,Acmispon argophyllus ssp. argenteus,Acmispon argophyllus subsp. argenteus,Lotus argophyllus var. argenteus,Lotus argophyllus ssp. argenteus,Lotus argophyllus subsp. argenteus
Acmispon argophyllus var. niveus,Acmispon argophyllus ssp. niveus,Acmispon argophyllus subsp. niveus,Lotus argophyllus var. niveus,Lotus argophyllus ssp. niveus,Lotus argophyllus subsp. niveus
Acmispon brachycarpus,Lotus humistratus
Acmispon dendroideus var. dendroideus,Acmispon dendroideus ssp. dendroideus,Acmispon dendroideus subsp. dendroideus,Lotus dendroideus var. dendroideus,Lotus dendroideus ssp. dendroideus,Lotus dendroideus subsp. dendroideus
Acmispon dendroideus var. veatchii,Acmispon dendroideus ssp. veatchii,Acmispon dendroideus subsp. veatchii,Lotus dendroideus var. veatchii,Lotus dendroideus ssp. veatchii,Lotus dendroideus subsp. veatchii
