taxon,ITS,matK,matR,ndhF,rbcL,trnL-trnF,18S,atpB
Cryptantha_leiocarpa,JQ513421.1,,,,,JQ582323.1,,
Cryptantha_maritima,JQ513425.1,,,,,JQ582328.1,,
Johnstonella_micromeres,JQ513428.1,,,,,JQ582330.1,,
Cryptantha_traskiae,JQ513443.1,CIPP,,,CIPP,JQ582345.1,,
Emmenanthe_penduliflora_var_penduliflora,,,,AF047815.1,,,,
Harpagonella_palmeri,KF849150.1,,,,,KC542590.1,,
Heliotropium_curassavicum_var_oculatum,AF396897.1,,,,,,,
Nama_stenocarpum,AF091181.1,,,AF047766.1,,,,
Nemophila_menziesii,KP208615.1,,,AF047809.1,KF158108.1,KF158201.1,,
Pectocarya_penicillata,JQ513450.1,,,,,KC542549.1,,
Phacelia_cicutaria_var_hispida,JX233433.1,,,JQ249936.1,,,,
Phacelia_hubbyi,,,,JQ249980.1,,,,
Phacelia_distans,JX233454.1,,,JQ250026.1,,JQ582361.1,,
Phacelia_grandiflora,AF091190.1,,,AF047818.1,,,,AJ504837.1
Phacelia_insularis_var_insularis,FJ814627.1,CIPP,,JQ249937.1,,,,
Phacelia_ramosissima,AF091199.1,,,AF047821.1,,,,
Phacelia_viscida,FJ814650.1,,,JQ250031.1,,,,
Athysanus_pusillus,GU246183.1,,,,,GU246241.1,,
Brassica_nigra,AF128102.1,LC064387.1,,DQ200031.1,HM849822.1,KF947386.1,,
Brassica_tournefortii,LC089997.1,,,LC090122.1,,GQ268044.1,,
Brassica_rapa,JN564039.1,AY541619.1,,DQ200044.1,KM025248.1,GQ268033.1,LC009534.1,
Cakile_edentula,KJ685080.1,JN584957.1,,DQ200039.1,HM849832.1,,,
